English,Japanese,context
researching,"	研究",They are researching the results.
respond,応じる,This is about respond.
responded,"	答えた",I responded the report.
respondent,"	回答者",This is about respondent.
respondents,"	回答",We found several respondents.
responding,"	応答",They are responding the results.
responds,"	応答",We found several responds.
response,"	応答",This is about response.
responses,"	応答",We found several responses.
responsive,"	応答",This is about responsive.
responsiveness,"	応答",This is about responsiveness.
unresponsive,"	応答",This is about unresponsive.
role,役割,This is about role.
roles,"	役割",We found several roles.
section,節,This is about section.
sectioned,"	断面",I sectioned the report.
sectioning,"	セクショニング",They are sectioning the results.
sections,"	セクション",We found several sections.
sector,セクター,She is an sector.
sectors,"	セクター",We found several sectors.
significant,重要な,This is about significant.
insignificant,"	名も無い",This is about insignificant.
insignificantly,"	取るに足らない",This is about insignificantly.
significance,"	 意味",This is about significance.
significantly,"	著しく",This is about significantly.
signified,"	シニフィエ",I signified the report.
signifies,"	意味",We found several signifies.
signify,"	表す",This is about signify.
signifying,"	意味",They are signifying the results.
similar,同じような,This is about similar.
dissimilar,"	異種",This is about dissimilar.
similarities,"	類似 点",We found several similarities.
similarity,"	相似",This is about similarity.
similarly,"	同じように",This is about similarly.
source,源,This is about source.
sourced,"	出典",I sourced the report.
sources,"	ソース",We found several sources.
sourcing,"	ソーシング",They are sourcing the results.
specific,特定,This is about specific.
specifically,"	具体的には",This is about specifically.
specification,"	仕様",This is about specification.
specifications,"	仕様",We found several specifications.
specificity,"	特異 性",This is about specificity.
specifics,"	詳細",We found several specifics.
structure,構造,This is about structure.
restructure,"	再 構築",This is about restructure.
restructured,"	再 構築",I restructured the report.
restructures,"	再 構築",We found several restructures.
restructuring,"	再 構築",They are restructuring the results.
structural,"	構造",This is about structural.
structurally,"	構造",This is about structurally.
structured,"	構造",I structured the report.
structures,"	構造",We found several structures.
structuring,"	構造",They are structuring the results.
unstructured,"	非構造化",I unstructured the report.
theory,理論,This is about theory.
theoretical,"	理論",This is about theoretical.
theoretically,"	理論上",This is about theoretically.
theories,"	理論",We found several theories.
theorist,"	理論家",This is about theorist.
theorists,"	理論",We found several theorists.
vary,異なる,This is about vary.
invariable,"	不変",This is about invariable.
invariably,"	常に",This is about invariably.
variability,"	可変",This is about variability.
variable,"	変数",This is about variable.
variables,"	変数",We found several variables.
variably,"	常",This is about variably.
variance,"	分散",This is about variance.
variant,"	バリアント",This is about variant.
variants,"	バリアント",We found several variants.
variation,"	バリエーション",This is about variation.
variations,"	バリエーション",We found several variations.
varied,"	変化",I varied the report.
varies,"	異なります",We found several varies.
varying,"	変化",They are varying the results.
Sublist 2 of the Academic Word List,,This is about Sublist 2 of the Academic Word List.
achieve,,This is about achieve.
achievable,,This is about achievable.
achieved,,I achieved the report.
achievement,,This is about achievement.
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,This is about acquire.
acquired,"	達成",I acquired the report.
acquires,"	達成",We found several acquires.
acquiring,"	達成",They are acquiring the results.
acquisition,"	実績",This is about acquisition.
acquisitions,"	実現",We found several acquisitions.
administrate,"	達成",This is about administrate.
administrates,取得する,We found several administrates.
administration,"	後天性",This is about administration.
administrations,"	取得",We found several administrations.
administrative,"	取得",This is about administrative.
administratively,"	取得",This is about administratively.
administrator,"	買収",She is an administrator.
administrators,管理,We found several administrators.
affect,"	管理者",This is about affect.
affected,"	行政",I affected the report.
affecting,"	政権",They are affecting the results.
affective,"	行政",This is about affective.
affectively,"	管理",This is about affectively.
affects,"	管理者",We found several affects.
unaffected,"	管理者",I unaffected the report.
appropriate,障る,This is about appropriate.
appropriacy,"	影響",This is about appropriacy.
appropriately,"	影響を与える",This is about appropriately.
appropriateness,"	感情",This is about appropriateness.
inappropriacy,"	感情的",This is about inappropriacy.
inappropriate,"	影響",This is about inappropriate.
inappropriately,"	影響",This is about inappropriately.
aspect,適切,This is about aspect.
aspects,"	適切性",We found several aspects.
assist,"	適当に",This is about assist.
assistance,"	てきせつ",This is about assistance.
assistant,"	不適切",This is about assistant.
assistants,"	不適当",We found several assistants.
assisted,"	不適切",I assisted the report.
assisting,アスペクト,They are assisting the results.
assists,"	側面",We found several assists.
unassisted,手伝う,I unassisted the report.
category,"	援助",This is about category.
categories,"	助手",We found several categories.
categorisation,"	アシスタント",This is about categorisation.
categorise,"	支援",This is about categorise.
categorised,"	支援",I categorised the report.
categorises,"	アシスト",We found several categorises.
categorising,"	自力",They are categorising the results.
categorization,カテゴリ,This is about categorization.
categorized,"	カテゴリ",I categorized the report.
categorizes,"	分類",We found several categorizes.
categorizing,"	分類",They are categorizing the results.
chapter,"	分類",She is an chapter.
chapters,"	カテゴリ分け",We found several chapters.
commission,"	分類",This is about commission.
commissioned,"	分類",I commissioned the report.
commissioner,"	分類",She is an commissioner.
commissioners,"	分類",We found several commissioners.
commissioning,"	分類",They are commissioning the results.
commissions,章,We found several commissions.
community,"	章",This is about community.
communities,手数料,We found several communities.
complex,"	委託",This is about complex.
complexities,"	コミッショナー",We found several complexities.
complexity,"	委員",This is about complexity.
compute,"	試運転",This is about compute.
computation,"	手数料",This is about computation.
computational,コミュニティ,This is about computational.
computations,"	コミュニティ",We found several computations.
computable,コンプレックス,This is about computable.
computer,"	複雑さ",She is an computer.
computed,"	複雑さ",I computed the report.
computerised,計算する,I computerised the report.
computers,"	計算",We found several computers.
computing,"	計算",They are computing the results.
conclude,"	計算",This is about conclude.
concluded,"	計算可能",I concluded the report.
concludes,"	コンピュータ",We found several concludes.
concluding,"	計算",They are concluding the results.
conclusion,"	コンピュータ化",This is about conclusion.
conclusions,"	コンピューター",We found several conclusions.
conclusive,"	コンピューティング",This is about conclusive.
conclusively,結論,This is about conclusively.
inconclusive,"	締結",This is about inconclusive.
inconclusively,"	結論",This is about inconclusively.
conduct,"	締結",This is about conduct.
conducted,"	結論",I conducted the report.
conducting,"	結論",They are conducting the results.
conducts,"	決定的",We found several conducts.
consequent,"	決定的",This is about consequent.
consequence,"	決定的",This is about consequence.
consequences,"	結論が出ない",We found several consequences.
consequently,行為,This is about consequently.
construct,"	実施",This is about construct.
constructed,"	実施",I constructed the report.
constructing,"	行って",They are constructing the results.
construction,後件,This is about construction.
constructions,"	結果",We found several constructions.
constructive,"	結果",This is about constructive.
constructs,"	したがいまして",We found several constructs.
reconstruct,建てる,This is about reconstruct.
reconstructed,"	構築",I reconstructed the report.
reconstructing,"	構築",They are reconstructing the results.
reconstruction,"	建設",This is about reconstruction.
reconstructs,"	構造",We found several reconstructs.
consume,"	建設的な",This is about consume.
consumed,"	構築",I consumed the report.
consumer,"	建て直す",She is an consumer.
consumers,"	再 構築",We found several consumers.
consumes,"	再 構築",We found several consumes.
consuming,"	再建",They are consuming the results.
consumption,"	再 構築",This is about consumption.
credit,使う,This is about credit.
credited,"	消費",I credited the report.
crediting,"	消費者",They are crediting the results.
creditor,"	消費 者",She is an creditor.
creditors,"	消費",We found several creditors.
credits,"	消費",We found several credits.
culture,"	消費",This is about culture.
cultural,信用,This is about cultural.
culturally,"	入金",This is about culturally.
cultured,"	クレジット",I cultured the report.
cultures,"	債権者",We found several cultures.
uncultured,"	債権 者",I uncultured the report.
design,"	クレジット",This is about design.
designed,文化,I designed the report.
designer,"	文化的な",She is an designer.
designers,"	文化的",We found several designers.
designing,"	彧",They are designing the results.
designs,"	文化",We found several designs.
distinct,"	無教養",This is about distinct.
distinction,設計,This is about distinction.
distinctions,"	設計",We found several distinctions.
distinctive,"	デザイナー",This is about distinctive.
distinctively,"	デザイナー",This is about distinctively.
distinctly,"	設計",This is about distinctly.
indistinct,"	デザイン",This is about indistinct.
indistinctly,朖,This is about indistinctly.
element,"	区別",This is about element.
elements,"	区別",We found several elements.
equate,"	独特",This is about equate.
equated,"	独特",I equated the report.
equates,"	はっきり",We found several equates.
equating,"	不明",They are equating the results.
equation,"	ぼうっと",This is about equation.
equations,要素,We found several equations.
evaluate,"	元素",This is about evaluate.
evaluated,同一視,I evaluated the report.
evaluates,"	同一視",We found several evaluates.
evaluating,"	相当",They are evaluating the results.
evaluation,"	一致",This is about evaluation.
evaluations,"	方程式",We found several evaluations.
evaluative,"	方程式",This is about evaluative.
re-evaluate,評,This is about re-evaluate.
re-evaluated,"	評価",I re-evaluated the report.
re-evaluates,"	評価",We found several re-evaluates.
re-evaluating,"	評価",They are re-evaluating the results.
re-evaluation,"	評価",This is about re-evaluation.
feature,"	評価",This is about feature.
featured,"	評価",I featured the report.
features,"	再評価",We found several features.
featuring,"	再評価",They are featuring the results.
final,"	再評価",This is about final.
finalise,"	再評価",This is about finalise.
finalised,"	再評価",I finalised the report.
finalises,特徴,We found several finalises.
finalising,"	注目",They are finalising the results.
finalize,"	顔立ち",This is about finalize.
finalized,"	特徴",I finalized the report.
finalizes,最終的な,We found several finalizes.
finalizing,"	終了",They are finalizing the results.
finality,"	最終版",This is about finality.
finally,"	確定",This is about finally.
finals,"	ファイナライズ",We found several finals.
focus,"	ファイナライズ",We found several focus.
focused,"	確定",I focused the report.
focuses,"	終了",We found several focuses.
focusing,"	確定",They are focusing the results.
focussed,"	きっぱり",I focussed the report.
focussing,"	最終的に",They are focussing the results.
refocus,"	決勝",We found several refocus.
refocused,焦点,I refocused the report.
refocuses,"	集中",We found several refocuses.
refocusing,"	焦点",They are refocusing the results.
refocussed,"	中心",I refocussed the report.
refocusses,"	焦点",We found several refocusses.
refocussing,"	焦点",They are refocussing the results.
impact,"	再び",This is about impact.
impacted,"	合わせた",I impacted the report.
impacting,"	焦点を合わせ直す",They are impacting the results.
impacts,"	移す",We found several impacts.
injure,"	再フォーカス",This is about injure.
injured,"	再フォーカス",I injured the report.
injures,"	再フォーカス",We found several injures.
injuries,インパクト,We found several injuries.
injuring,"	影響",They are injuring the results.
injury,"	影響",This is about injury.
uninjured,"	影響",I uninjured the report.
institute,傷つける,This is about institute.
instituted,"	傷付いた",I instituted the report.
institutes,"	傷つける",We found several institutes.
instituting,"	傷害",They are instituting the results.
institution,"	負傷",This is about institution.
institutional,"	怪我",This is about institutional.
institutionalise,"	無傷",This is about institutionalise.
institutionalised,学院,I institutionalised the report.
institutionalises,"	制定",We found several institutionalises.
institutionalising,"	機関",They are institutionalising the results.
institutionalized,"	制定",I institutionalized the report.
institutionalizes,"	施設",We found several institutionalizes.
institutionalizing,"	機関",They are institutionalizing the results.
institutionally,"	制度化",This is about institutionally.
institutions,"	制度化",We found several institutions.
invest,"	施設化",This is about invest.
invested,"	制度化",I invested the report.
investing,"	制度",They are investing the results.
investment,"	制度化",This is about investment.
investments,"	制度化",We found several investments.
investor,"	制度的に",She is an investor.
investors,"	機関",We found several investors.
invests,投じる,We found several invests.
reinvest,"	投資",This is about reinvest.
reinvested,"	投資",I reinvested the report.
reinvesting,"	投資",They are reinvesting the results.
reinvestment,"	投資",This is about reinvestment.
reinvests,"	出資者",We found several reinvests.
item,"	投資 家",This is about item.
itemisation,"	投資",This is about itemisation.
itemise,"	再",This is about itemise.
itemised,"	再投資",I itemised the report.
itemises,"	逆行",We found several itemises.
itemising,"	再",They are itemising the results.
items,"	再投資",We found several items.
journal,アイテム,This is about journal.
journals,"	アイテム化",We found several journals.
maintain,"	アイテム",This is about maintain.
maintained,"	アイテム別",I maintained the report.
maintaining,"	アイテム",They are maintaining the results.
maintains,"	アイテム化",We found several maintains.
maintenance,"	項目",This is about maintenance.
normal,日誌,This is about normal.
abnormal,"	仕訳 帳",This is about abnormal.
abnormally,保つ,This is about abnormally.
normalisation,"	維持",This is about normalisation.
normalise,"	維持",This is about normalise.
normalised,"	維持",I normalised the report.
normalises,"	メンテナンス",We found several normalises.
normalising,正常,They are normalising the results.
normalization,"	異常",This is about normalization.
normalize,"	異常に",This is about normalize.
normalized,"	正常化",I normalized the report.
normalizes,"	正規化",We found several normalizes.
normalizing,"	正規化",They are normalizing the results.
normality,"	標準化",This is about normality.
normally,"	正規化",This is about normally.
obtain,"	正常化",This is about obtain.
obtainable,"	ノーマライズ",This is about obtainable.
obtained,"	正規化",I obtained the report.
obtaining,"	正規化",They are obtaining the results.
obtains,"	正規化",We found several obtains.
unobtainable,"	正常",This is about unobtainable.
participate,"	通常であれば",This is about participate.
participant,手に入る,This is about participant.
participants,"	得 られる",We found several participants.
participated,"	取得",I participated the report.
participates,"	入手",We found several participates.
participating,"	取得",They are participating the results.
participation,"	入らない",This is about participation.
participatory,参加する,This is about participatory.
perceive,"	参加者",This is about perceive.
perceived,"	参加者",I perceived the report.
perceives,"	参加",We found several perceives.
perceiving,"	参加",They are perceiving the results.
perception,"	参加",This is about perception.
perceptions,"	参加",We found several perceptions.
positive,"	参加",This is about positive.
positively,悟る,This is about positively.
potential,"	知覚",This is about potential.
potentially,"	認識",This is about potentially.
previous,"	知覚",We found several previous.
previously,"	知覚",This is about previously.
primary,"	認識",This is about primary.
primarily,＋,This is about primarily.
purchase,"	積極的に",This is about purchase.
purchased,ポテンシャル,I purchased the report.
purchaser,"	可能性",She is an purchaser.
purchasers,先の,We found several purchasers.
purchases,"	先に",We found several purchases.
purchasing,原発,They are purchasing the results.
range,"	元来",This is about range.
ranged,買う,I ranged the report.
ranges,"	購入",We found several ranges.
ranging,"	買主",They are ranging the results.
region,"	購入",This is about region.
regional,"	購入",This is about regional.
regionally,"	購買",This is about regionally.
regions,範囲,We found several regions.
regulate,"	範囲",This is about regulate.
deregulated,"	範囲",I deregulated the report.
deregulates,"	まで",We found several deregulates.
deregulating,地域,They are deregulating the results.
deregulation,"	リージョナル",This is about deregulation.
regulated,"	地方",I regulated the report.
regulates,"	地域",We found several regulates.
regulating,治,They are regulating the results.
regulation,"	規制 緩和",This is about regulation.
regulations,"	規制緩和",We found several regulations.
regulator,"	規制緩和",She is an regulator.
regulators,"	ディレギュレーション",We found several regulators.
regulatory,"	規制",This is about regulatory.
unregulated,"	調節",I unregulated the report.
relevant,"	規制",This is about relevant.
irrelevance,"	規制",This is about irrelevance.
irrelevant,"	規則",This is about irrelevant.
relevance,"	制御器",This is about relevance.
reside,"	レギュレータ",This is about reside.
resided,"	規制",I resided the report.
residence,"	野放図な",This is about residence.
