English,Japanese,context
legislating,	立法,They are legislating the results.
legislation,	法制,This example illustrates how to use the word 'legislation'.
legislative,	立法権,This example illustrates how to use the word 'legislative'.
legislator,	立法者,She is an legislator.
legislators,	議員,We found several legislators.
legislature,	立法府,This example illustrates how to use the word 'legislature'.
major,少佐,She is an major.
majorities,	大半,We found several majorities.
majority,	過半数,This example illustrates how to use the word 'majority'.
method,方式,We used a different method to test the idea.
methodical,	几帳面,This example illustrates how to use the word 'methodical'.
methodological,	方法論,This example illustrates how to use the word 'methodological'.
methodologies,	方法,We found several methodologies.
methodology,	方法論,This example illustrates how to use the word 'methodology'.
methods,	メソッド,We found several methods.
occur,起る,This example illustrates how to use the word 'occur'.
occurred,	発生,I occurred the report.
occurrence,	発生,This example illustrates how to use the word 'occurrence'.
occurrences,	発生,We found several occurrences.
occurring,	発生,They are occurring the results.
occurs,	発生,We found several occurs.
reoccur,	再発,This example illustrates how to use the word 'reoccur'.
reoccurred,	再発,I reoccurred the report.
reoccurring,	再発,They are reoccurring the results.
reoccurs,	再発,We found several reoccurs.
percent,パーセント,This example illustrates how to use the word 'percent'.
percentage,	百分率,This example illustrates how to use the word 'percentage'.
percentages,	割合,We found several percentages.
period,時代,This example illustrates how to use the word 'period'.
periodic,	周期的,This example illustrates how to use the word 'periodic'.
periodical,	定期刊行物,This example illustrates how to use the word 'periodical'.
periodically,	定期的,This example illustrates how to use the word 'periodically'.
periodicals,	雑誌,We found several periodicals.
periods,	期間,We found several periods.
policy,政策,This example illustrates how to use the word 'policy'.
policies,	檄,We found several policies.
principle,原理,This example illustrates how to use the word 'principle'.
principled,	原則,I principled the report.
principles,	原則,We found several principles.
unprincipled,	無節操,I unprincipled the report.
proceed,進む,I proceed the report.
procedural,	手続き型,This example illustrates how to use the word 'procedural'.
procedure,	プロシージャ,This example illustrates how to use the word 'procedure'.
procedures,	手続き,We found several procedures.
proceeded,	進んだ,I proceeded the report.
proceeding,	行程,They are proceeding the results.
proceedings,	議事,We found several proceedings.
proceeds,	収益,We found several proceeds.
process,過程,This example illustrates how to use the word 'process'.
processed,	処理,I processed the report.
processes,	プロセス,We found several processes.
processing,	加工,They are processing the results.
require,要する,The job will require travel to several countries.
required,	必須,I required the report.
requirement,	要件,This example illustrates how to use the word 'requirement'.
requirements,	必要条件,We found several requirements.
requires,	必要,We found several requires.
requiring,	必要,They are requiring the results.
research,研究,This example illustrates how to use the word 'research'.
researched,	研究,I researched the report.
researcher,	研究員,She is an researcher.
researchers,	研究,We found several researchers.
researches,	研究,We found several researches.
researching,	研究,They are researching the results.
respond,応じる,He didn't respond to my question.
responded,	答えた,I responded the report.
respondent,	回答者,This example illustrates how to use the word 'respondent'.
respondents,	回答,We found several respondents.
responding,	応答,They are responding the results.
responds,	応答,We found several responds.
response,	応答,This example illustrates how to use the word 'response'.
responses,	応答,We found several responses.
responsive,	応答,This example illustrates how to use the word 'responsive'.
responsiveness,	応答,This example illustrates how to use the word 'responsiveness'.
unresponsive,	応答,This example illustrates how to use the word 'unresponsive'.
role,役割,This example illustrates how to use the word 'role'.
roles,	役割,We found several roles.
section,節,This example illustrates how to use the word 'section'.
sectioned,	断面,I sectioned the report.
sectioning,	セクショニング,They are sectioning the results.
sections,	セクション,We found several sections.
sector,セクター,She is an sector.
sectors,	セクター,We found several sectors.
significant,重要な,This example illustrates how to use the word 'significant'.
insignificant,	名も無い,This example illustrates how to use the word 'insignificant'.
insignificantly,	取るに足らない,This example illustrates how to use the word 'insignificantly'.
significance,	 意味,This example illustrates how to use the word 'significance'.
significantly,	著しく,This example illustrates how to use the word 'significantly'.
signified,	シニフィエ,I signified the report.
signifies,	意味,We found several signifies.
signify,	表す,This example illustrates how to use the word 'signify'.
signifying,	意味,They are signifying the results.
similar,同じような,This example illustrates how to use the word 'similar'.
dissimilar,	異種,This example illustrates how to use the word 'dissimilar'.
similarities,	類似 点,We found several similarities.
similarity,	相似,This example illustrates how to use the word 'similarity'.
similarly,	同じように,This example illustrates how to use the word 'similarly'.
source,源,The river is the main source of drinking water.
sourced,	出典,I sourced the report.
sources,	ソース,We found several sources.
sourcing,	ソーシング,They are sourcing the results.
specific,特定,This example illustrates how to use the word 'specific'.
specifically,	具体的には,This example illustrates how to use the word 'specifically'.
specification,	仕様,This example illustrates how to use the word 'specification'.
specifications,	仕様,We found several specifications.
specificity,	特異 性,This example illustrates how to use the word 'specificity'.
specifics,	詳細,We found several specifics.
structure,構造,The essay has a clear structure.
restructure,	再 構築,This example illustrates how to use the word 'restructure'.
restructured,	再 構築,I restructured the report.
restructures,	再 構築,We found several restructures.
restructuring,	再 構築,They are restructuring the results.
structural,	構造,This example illustrates how to use the word 'structural'.
structurally,	構造,This example illustrates how to use the word 'structurally'.
structured,	構造,I structured the report.
structures,	構造,We found several structures.
structuring,	構造,They are structuring the results.
unstructured,	非構造化,I unstructured the report.
theory,理論,This example illustrates how to use the word 'theory'.
theoretical,	理論,This example illustrates how to use the word 'theoretical'.
theoretically,	理論上,This example illustrates how to use the word 'theoretically'.
theories,	理論,We found several theories.
theorist,	理論家,This example illustrates how to use the word 'theorist'.
theorists,	理論,We found several theorists.
vary,異なる,This example illustrates how to use the word 'vary'.
invariable,	不変,This example illustrates how to use the word 'invariable'.
invariably,	常に,This example illustrates how to use the word 'invariably'.
variability,	可変,This example illustrates how to use the word 'variability'.
variable,	変数,This example illustrates how to use the word 'variable'.
variables,	変数,We found several variables.
variably,	常,This example illustrates how to use the word 'variably'.
variance,	分散,This example illustrates how to use the word 'variance'.
variant,	バリアント,This example illustrates how to use the word 'variant'.
variants,	バリアント,We found several variants.
variation,	バリエーション,This example illustrates how to use the word 'variation'.
variations,	バリエーション,We found several variations.
varied,	変化,I varied the report.
varies,	異なります,We found several varies.
varying,	変化,They are varying the results.
Sublist 2 of the Academic Word List,,This example illustrates how to use the word 'Sublist 2 of the Academic Word List'.
achieve,,This example illustrates how to use the word 'achieve'.
achievable,,This example illustrates how to use the word 'achievable'.
achieved,,I achieved the report.
achievement,,This example illustrates how to use the word 'achievement'.
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,This example illustrates how to use the word 'acquire'.
acquired,	達成,I acquired the report.
acquires,	達成,We found several acquires.
acquiring,	達成,They are acquiring the results.
acquisition,	実績,This example illustrates how to use the word 'acquisition'.
acquisitions,	実現,We found several acquisitions.
administrate,	達成,This example illustrates how to use the word 'administrate'.
administrates,取得する,We found several administrates.
administration,	後天性,This example illustrates how to use the word 'administration'.
administrations,	取得,We found several administrations.
administrative,	取得,This example illustrates how to use the word 'administrative'.
administratively,	取得,This example illustrates how to use the word 'administratively'.
administrator,	買収,She is an administrator.
administrators,管理,We found several administrators.
affect,	管理者,This example illustrates how to use the word 'affect'.
affected,	行政,I affected the report.
affecting,	政権,They are affecting the results.
affective,	行政,This example illustrates how to use the word 'affective'.
affectively,	管理,This example illustrates how to use the word 'affectively'.
affects,	管理者,We found several affects.
unaffected,	管理者,I unaffected the report.
appropriate,障る,This example illustrates how to use the word 'appropriate'.
appropriacy,	影響,This example illustrates how to use the word 'appropriacy'.
appropriately,	影響を与える,This example illustrates how to use the word 'appropriately'.
appropriateness,	感情,This example illustrates how to use the word 'appropriateness'.
inappropriacy,	感情的,This example illustrates how to use the word 'inappropriacy'.
inappropriate,	影響,This example illustrates how to use the word 'inappropriate'.
inappropriately,	影響,This example illustrates how to use the word 'inappropriately'.
aspect,適切,This example illustrates how to use the word 'aspect'.
aspects,	適切性,We found several aspects.
assist,	適当に,He asked his friend to assist him with the task.
assistance,	てきせつ,This example illustrates how to use the word 'assistance'.
assistant,	不適切,This example illustrates how to use the word 'assistant'.
assistants,	不適当,We found several assistants.
assisted,	不適切,I assisted the report.
assisting,アスペクト,They are assisting the results.
assists,	側面,We found several assists.
unassisted,手伝う,I unassisted the report.
category,	援助,This example illustrates how to use the word 'category'.
categories,	助手,We found several categories.
categorisation,	アシスタント,This example illustrates how to use the word 'categorisation'.
categorise,	支援,This example illustrates how to use the word 'categorise'.
categorised,	支援,I categorised the report.
categorises,	アシスト,We found several categorises.
categorising,	自力,They are categorising the results.
categorization,カテゴリ,This example illustrates how to use the word 'categorization'.
categorized,	カテゴリ,I categorized the report.
categorizes,	分類,We found several categorizes.
categorizing,	分類,They are categorizing the results.
chapter,	分類,She is an chapter.
chapters,	カテゴリ分け,We found several chapters.
commission,	分類,This example illustrates how to use the word 'commission'.
commissioned,	分類,I commissioned the report.
commissioner,	分類,She is an commissioner.
commissioners,	分類,We found several commissioners.
commissioning,	分類,They are commissioning the results.
commissions,章,We found several commissions.
community,	章,This example illustrates how to use the word 'community'.
communities,手数料,We found several communities.
complex,	委託,This example illustrates how to use the word 'complex'.
complexities,	コミッショナー,We found several complexities.
complexity,	委員,This example illustrates how to use the word 'complexity'.
compute,	試運転,This example illustrates how to use the word 'compute'.
computation,	手数料,This example illustrates how to use the word 'computation'.
computational,コミュニティ,This example illustrates how to use the word 'computational'.
computations,	コミュニティ,We found several computations.
computable,コンプレックス,This example illustrates how to use the word 'computable'.
computer,	複雑さ,She is an computer.
computed,	複雑さ,I computed the report.
computerised,計算する,I computerised the report.
computers,	計算,We found several computers.
computing,	計算,They are computing the results.
conclude,	計算,This example illustrates how to use the word 'conclude'.
concluded,	計算可能,I concluded the report.
concludes,	コンピュータ,We found several concludes.
concluding,	計算,They are concluding the results.
conclusion,	コンピュータ化,This example illustrates how to use the word 'conclusion'.
conclusions,	コンピューター,We found several conclusions.
conclusive,	コンピューティング,This example illustrates how to use the word 'conclusive'.
conclusively,結論,This example illustrates how to use the word 'conclusively'.
inconclusive,	締結,This example illustrates how to use the word 'inconclusive'.
inconclusively,	結論,This example illustrates how to use the word 'inconclusively'.
conduct,	締結,This example illustrates how to use the word 'conduct'.
conducted,	結論,I conducted the report.
conducting,	結論,They are conducting the results.
conducts,	決定的,We found several conducts.
consequent,	決定的,This example illustrates how to use the word 'consequent'.
consequence,	決定的,This example illustrates how to use the word 'consequence'.
consequences,	結論が出ない,We found several consequences.
consequently,行為,This example illustrates how to use the word 'consequently'.
construct,	実施,This example illustrates how to use the word 'construct'.
constructed,	実施,I constructed the report.
constructing,	行って,They are constructing the results.
construction,後件,This example illustrates how to use the word 'construction'.
constructions,	結果,We found several constructions.
constructive,	結果,This example illustrates how to use the word 'constructive'.
constructs,	したがいまして,We found several constructs.
reconstruct,建てる,This example illustrates how to use the word 'reconstruct'.
reconstructed,	構築,I reconstructed the report.
reconstructing,	構築,They are reconstructing the results.
reconstruction,	建設,This example illustrates how to use the word 'reconstruction'.
reconstructs,	構造,We found several reconstructs.
consume,	建設的な,This example illustrates how to use the word 'consume'.
consumed,	構築,I consumed the report.
consumer,	建て直す,She is an consumer.
consumers,	再 構築,We found several consumers.
consumes,	再 構築,We found several consumes.
consuming,	再建,They are consuming the results.
consumption,	再 構築,This example illustrates how to use the word 'consumption'.
credit,使う,This example illustrates how to use the word 'credit'.
credited,	消費,I credited the report.
crediting,	消費者,They are crediting the results.
creditor,	消費 者,She is an creditor.
creditors,	消費,We found several creditors.
credits,	消費,We found several credits.
culture,	消費,This example illustrates how to use the word 'culture'.
cultural,信用,This example illustrates how to use the word 'cultural'.
culturally,	入金,This example illustrates how to use the word 'culturally'.
cultured,	クレジット,I cultured the report.
cultures,	債権者,We found several cultures.
uncultured,	債権 者,I uncultured the report.
design,	クレジット,This example illustrates how to use the word 'design'.
designed,文化,I designed the report.
designer,	文化的な,She is an designer.
designers,	文化的,We found several designers.
designing,	彧,They are designing the results.
designs,	文化,We found several designs.
distinct,	無教養,This example illustrates how to use the word 'distinct'.
distinction,設計,This example illustrates how to use the word 'distinction'.
distinctions,	設計,We found several distinctions.
distinctive,	デザイナー,This example illustrates how to use the word 'distinctive'.
distinctively,	デザイナー,This example illustrates how to use the word 'distinctively'.
distinctly,	設計,This example illustrates how to use the word 'distinctly'.
indistinct,	デザイン,This example illustrates how to use the word 'indistinct'.
indistinctly,朖,This example illustrates how to use the word 'indistinctly'.
element,	区別,This example illustrates how to use the word 'element'.
elements,	区別,We found several elements.
equate,	独特,This example illustrates how to use the word 'equate'.
equated,	独特,I equated the report.
equates,	はっきり,We found several equates.
equating,	不明,They are equating the results.
equation,	ぼうっと,This example illustrates how to use the word 'equation'.
equations,要素,We found several equations.
evaluate,	元素,Please evaluate the quality of the service.
evaluated,同一視,I evaluated the report.
evaluates,	同一視,We found several evaluates.
evaluating,	相当,They are evaluating the results.
evaluation,	一致,This example illustrates how to use the word 'evaluation'.
evaluations,	方程式,We found several evaluations.
evaluative,	方程式,This example illustrates how to use the word 'evaluative'.
re-evaluate,評,This example illustrates how to use the word 're-evaluate'.
re-evaluated,	評価,I re-evaluated the report.
re-evaluates,	評価,We found several re-evaluates.
re-evaluating,	評価,They are re-evaluating the results.
re-evaluation,	評価,This example illustrates how to use the word 're-evaluation'.
feature,	評価,This example illustrates how to use the word 'feature'.
featured,	評価,I featured the report.
features,	再評価,We found several features.
featuring,	再評価,They are featuring the results.
final,	再評価,This example illustrates how to use the word 'final'.
finalise,	再評価,This example illustrates how to use the word 'finalise'.
finalised,	再評価,I finalised the report.
finalises,特徴,We found several finalises.
finalising,	注目,They are finalising the results.
finalize,	顔立ち,This example illustrates how to use the word 'finalize'.
finalized,	特徴,I finalized the report.
finalizes,最終的な,We found several finalizes.
finalizing,	終了,They are finalizing the results.
finality,	最終版,This example illustrates how to use the word 'finality'.
finally,	確定,This example illustrates how to use the word 'finally'.
finals,	ファイナライズ,We found several finals.
focus,	ファイナライズ,We found several focus.
focused,	確定,I focused the report.
focuses,	終了,We found several focuses.
focusing,	確定,They are focusing the results.
focussed,	きっぱり,I focussed the report.
focussing,	最終的に,They are focussing the results.
refocus,	決勝,We found several refocus.
refocused,焦点,I refocused the report.
refocuses,	集中,We found several refocuses.
refocusing,	焦点,They are refocusing the results.
refocussed,	中心,I refocussed the report.
refocusses,	焦点,We found several refocusses.
refocussing,	焦点,They are refocussing the results.
impact,	再び,The new law had a major impact on businesses.
