English,Japanese,context
legislation,	法制,Legislation is used frequently in academic and everyday English.
legislative,	立法権,Legislative is used frequently in academic and everyday English.
legislator,	立法者,She is an legislator.
legislators,	議員,We found several legislators.
legislature,	立法府,Legislature is used frequently in academic and everyday English.
major,少佐,She is an major.
majorities,	大半,We found several majorities.
majority,	過半数,Majority is used frequently in academic and everyday English.
method,方式,We used a different method to test the idea.
methodical,	几帳面,Methodical is used frequently in academic and everyday English.
methodological,	方法論,Methodological is used frequently in academic and everyday English.
methodologies,	方法,We found several methodologies.
methodology,	方法論,Methodology is used frequently in academic and everyday English.
methods,	メソッド,We found several methods.
occur,起る,Occur is used frequently in academic and everyday English.
occurred,	発生,I occurred the report.
occurrence,	発生,Occurrence is used frequently in academic and everyday English.
occurrences,	発生,We found several occurrences.
occurring,	発生,They are occurring the results.
occurs,	発生,We found several occurs.
reoccur,	再発,Reoccur is used frequently in academic and everyday English.
reoccurred,	再発,I reoccurred the report.
reoccurring,	再発,They are reoccurring the results.
reoccurs,	再発,We found several reoccurs.
percent,パーセント,Percent is used frequently in academic and everyday English.
percentage,	百分率,Percentage is used frequently in academic and everyday English.
percentages,	割合,We found several percentages.
period,時代,Period is used frequently in academic and everyday English.
periodic,	周期的,Periodic is used frequently in academic and everyday English.
periodical,	定期刊行物,Periodical is used frequently in academic and everyday English.
periodically,	定期的,Periodically is used frequently in academic and everyday English.
periodicals,	雑誌,We found several periodicals.
periods,	期間,We found several periods.
policy,政策,Policy is used frequently in academic and everyday English.
policies,	檄,We found several policies.
principle,原理,Principle is used frequently in academic and everyday English.
principled,	原則,I principled the report.
principles,	原則,We found several principles.
unprincipled,	無節操,I unprincipled the report.
proceed,進む,I proceed the report.
procedural,	手続き型,Procedural is used frequently in academic and everyday English.
procedure,	プロシージャ,Procedure is used frequently in academic and everyday English.
procedures,	手続き,We found several procedures.
proceeded,	進んだ,I proceeded the report.
proceeding,	行程,They are proceeding the results.
proceedings,	議事,We found several proceedings.
proceeds,	収益,We found several proceeds.
process,過程,Process is used frequently in academic and everyday English.
processed,	処理,I processed the report.
processes,	プロセス,We found several processes.
processing,	加工,They are processing the results.
require,要する,The job will require travel to several countries.
required,	必須,I required the report.
requirement,	要件,A degree is a basic requirement for the job.
requirements,	必要条件,We found several requirements.
requires,	必要,We found several requires.
requiring,	必要,They are requiring the results.
research,研究,Research is used frequently in academic and everyday English.
researched,	研究,I researched the report.
researcher,	研究員,She is an researcher.
researchers,	研究,We found several researchers.
researches,	研究,We found several researches.
researching,	研究,They are researching the results.
respond,応じる,He didn't respond to my question.
responded,	答えた,I responded the report.
respondent,	回答者,Respondent is used frequently in academic and everyday English.
respondents,	回答,We found several respondents.
responding,	応答,They are responding the results.
responds,	応答,We found several responds.
response,	応答,Response is used frequently in academic and everyday English.
responses,	応答,We found several responses.
responsive,	応答,Responsive is used frequently in academic and everyday English.
responsiveness,	応答,Responsiveness is used frequently in academic and everyday English.
unresponsive,	応答,Unresponsive is used frequently in academic and everyday English.
role,役割,Role is used frequently in academic and everyday English.
roles,	役割,We found several roles.
section,節,Section is used frequently in academic and everyday English.
sectioned,	断面,I sectioned the report.
sectioning,	セクショニング,They are sectioning the results.
sections,	セクション,We found several sections.
sector,セクター,She is an sector.
sectors,	セクター,We found several sectors.
significant,重要な,There was a significant improvement in his grades.
insignificant,	名も無い,Insignificant is used frequently in academic and everyday English.
insignificantly,	取るに足らない,Insignificantly is used frequently in academic and everyday English.
significance,	 意味,Significance is used frequently in academic and everyday English.
significantly,	著しく,Significantly is used frequently in academic and everyday English.
signified,	シニフィエ,I signified the report.
signifies,	意味,We found several signifies.
signify,	表す,Signify is used frequently in academic and everyday English.
signifying,	意味,They are signifying the results.
similar,同じような,Similar is used frequently in academic and everyday English.
dissimilar,	異種,Dissimilar is used frequently in academic and everyday English.
similarities,	類似 点,We found several similarities.
similarity,	相似,Similarity is used frequently in academic and everyday English.
similarly,	同じように,Similarly is used frequently in academic and everyday English.
source,源,The river is the main source of drinking water.
sourced,	出典,I sourced the report.
sources,	ソース,We found several sources.
sourcing,	ソーシング,They are sourcing the results.
specific,特定,Specific is used frequently in academic and everyday English.
specifically,	具体的には,Specifically is used frequently in academic and everyday English.
specification,	仕様,Specification is used frequently in academic and everyday English.
specifications,	仕様,We found several specifications.
specificity,	特異 性,Specificity is used frequently in academic and everyday English.
specifics,	詳細,We found several specifics.
structure,構造,The essay has a clear structure.
restructure,	再 構築,Restructure is used frequently in academic and everyday English.
restructured,	再 構築,I restructured the report.
restructures,	再 構築,We found several restructures.
restructuring,	再 構築,They are restructuring the results.
structural,	構造,Structural is used frequently in academic and everyday English.
structurally,	構造,Structurally is used frequently in academic and everyday English.
structured,	構造,I structured the report.
structures,	構造,We found several structures.
structuring,	構造,They are structuring the results.
unstructured,	非構造化,I unstructured the report.
theory,理論,Theory is used frequently in academic and everyday English.
theoretical,	理論,Theoretical is used frequently in academic and everyday English.
theoretically,	理論上,Theoretically is used frequently in academic and everyday English.
theories,	理論,We found several theories.
theorist,	理論家,Theorist is used frequently in academic and everyday English.
theorists,	理論,We found several theorists.
vary,異なる,Prices vary depending on the season.
invariable,	不変,Invariable is used frequently in academic and everyday English.
invariably,	常に,Invariably is used frequently in academic and everyday English.
variability,	可変,Variability is used frequently in academic and everyday English.
variable,	変数,Variable is used frequently in academic and everyday English.
variables,	変数,We found several variables.
variably,	常,Variably is used frequently in academic and everyday English.
variance,	分散,Variance is used frequently in academic and everyday English.
variant,	バリアント,Variant is used frequently in academic and everyday English.
variants,	バリアント,We found several variants.
variation,	バリエーション,Variation is used frequently in academic and everyday English.
variations,	バリエーション,We found several variations.
varied,	変化,I varied the report.
varies,	異なります,We found several varies.
varying,	変化,They are varying the results.
Sublist 2 of the Academic Word List,,Sublist 2 of the academic word list is used frequently in academic and everyday English.
achieve,,Achieve is used frequently in academic and everyday English.
achievable,,Achievable is used frequently in academic and everyday English.
achieved,,I achieved the report.
achievement,,Achievement is used frequently in academic and everyday English.
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,Acquire is used frequently in academic and everyday English.
acquired,	達成,I acquired the report.
acquires,	達成,We found several acquires.
acquiring,	達成,They are acquiring the results.
acquisition,	実績,Acquisition is used frequently in academic and everyday English.
acquisitions,	実現,We found several acquisitions.
administrate,	達成,Administrate is used frequently in academic and everyday English.
administrates,取得する,We found several administrates.
administration,	後天性,Administration is used frequently in academic and everyday English.
administrations,	取得,We found several administrations.
administrative,	取得,Administrative is used frequently in academic and everyday English.
administratively,	取得,Administratively is used frequently in academic and everyday English.
administrator,	買収,She is an administrator.
administrators,管理,We found several administrators.
affect,	管理者,Affect is used frequently in academic and everyday English.
affected,	行政,I affected the report.
affecting,	政権,They are affecting the results.
affective,	行政,Affective is used frequently in academic and everyday English.
affectively,	管理,Affectively is used frequently in academic and everyday English.
affects,	管理者,We found several affects.
unaffected,	管理者,I unaffected the report.
appropriate,障る,Appropriate is used frequently in academic and everyday English.
appropriacy,	影響,Appropriacy is used frequently in academic and everyday English.
appropriately,	影響を与える,Appropriately is used frequently in academic and everyday English.
appropriateness,	感情,Appropriateness is used frequently in academic and everyday English.
inappropriacy,	感情的,Inappropriacy is used frequently in academic and everyday English.
inappropriate,	影響,Inappropriate is used frequently in academic and everyday English.
inappropriately,	影響,Inappropriately is used frequently in academic and everyday English.
aspect,適切,Aspect is used frequently in academic and everyday English.
aspects,	適切性,We found several aspects.
assist,	適当に,He asked his friend to assist him with the task.
assistance,	てきせつ,Assistance is used frequently in academic and everyday English.
assistant,	不適切,Assistant is used frequently in academic and everyday English.
assistants,	不適当,We found several assistants.
assisted,	不適切,I assisted the report.
assisting,アスペクト,They are assisting the results.
assists,	側面,We found several assists.
unassisted,手伝う,I unassisted the report.
category,	援助,This book falls into the fiction category.
categories,	助手,We found several categories.
categorisation,	アシスタント,Categorisation is used frequently in academic and everyday English.
categorise,	支援,Categorise is used frequently in academic and everyday English.
categorised,	支援,I categorised the report.
categorises,	アシスト,We found several categorises.
categorising,	自力,They are categorising the results.
categorization,カテゴリ,Categorization is used frequently in academic and everyday English.
categorized,	カテゴリ,I categorized the report.
categorizes,	分類,We found several categorizes.
categorizing,	分類,They are categorizing the results.
chapter,	分類,She is an chapter.
chapters,	カテゴリ分け,We found several chapters.
commission,	分類,Commission is used frequently in academic and everyday English.
commissioned,	分類,I commissioned the report.
commissioner,	分類,She is an commissioner.
commissioners,	分類,We found several commissioners.
commissioning,	分類,They are commissioning the results.
commissions,章,We found several commissions.
community,	章,Community is used frequently in academic and everyday English.
communities,手数料,We found several communities.
complex,	委託,Complex is used frequently in academic and everyday English.
complexities,	コミッショナー,We found several complexities.
complexity,	委員,Complexity is used frequently in academic and everyday English.
compute,	試運転,Compute is used frequently in academic and everyday English.
computation,	手数料,Computation is used frequently in academic and everyday English.
computational,コミュニティ,Computational is used frequently in academic and everyday English.
computations,	コミュニティ,We found several computations.
computable,コンプレックス,Computable is used frequently in academic and everyday English.
computer,	複雑さ,She is an computer.
computed,	複雑さ,I computed the report.
computerised,計算する,I computerised the report.
computers,	計算,We found several computers.
computing,	計算,They are computing the results.
conclude,	計算,Conclude is used frequently in academic and everyday English.
concluded,	計算可能,I concluded the report.
concludes,	コンピュータ,We found several concludes.
concluding,	計算,They are concluding the results.
conclusion,	コンピュータ化,Conclusion is used frequently in academic and everyday English.
conclusions,	コンピューター,We found several conclusions.
conclusive,	コンピューティング,Conclusive is used frequently in academic and everyday English.
conclusively,結論,Conclusively is used frequently in academic and everyday English.
inconclusive,	締結,Inconclusive is used frequently in academic and everyday English.
inconclusively,	結論,Inconclusively is used frequently in academic and everyday English.
conduct,	締結,Conduct is used frequently in academic and everyday English.
conducted,	結論,I conducted the report.
conducting,	結論,They are conducting the results.
conducts,	決定的,We found several conducts.
consequent,	決定的,Consequent is used frequently in academic and everyday English.
consequence,	決定的,Consequence is used frequently in academic and everyday English.
consequences,	結論が出ない,We found several consequences.
consequently,行為,Consequently is used frequently in academic and everyday English.
construct,	実施,Construct is used frequently in academic and everyday English.
constructed,	実施,I constructed the report.
constructing,	行って,They are constructing the results.
construction,後件,Construction is used frequently in academic and everyday English.
constructions,	結果,We found several constructions.
constructive,	結果,Constructive is used frequently in academic and everyday English.
constructs,	したがいまして,We found several constructs.
reconstruct,建てる,Reconstruct is used frequently in academic and everyday English.
reconstructed,	構築,I reconstructed the report.
reconstructing,	構築,They are reconstructing the results.
reconstruction,	建設,Reconstruction is used frequently in academic and everyday English.
reconstructs,	構造,We found several reconstructs.
consume,	建設的な,Consume is used frequently in academic and everyday English.
consumed,	構築,I consumed the report.
consumer,	建て直す,She is an consumer.
consumers,	再 構築,We found several consumers.
consumes,	再 構築,We found several consumes.
consuming,	再建,They are consuming the results.
consumption,	再 構築,Consumption is used frequently in academic and everyday English.
credit,使う,Credit is used frequently in academic and everyday English.
credited,	消費,I credited the report.
crediting,	消費者,They are crediting the results.
creditor,	消費 者,She is an creditor.
creditors,	消費,We found several creditors.
credits,	消費,We found several credits.
culture,	消費,Culture is used frequently in academic and everyday English.
cultural,信用,Cultural is used frequently in academic and everyday English.
culturally,	入金,Culturally is used frequently in academic and everyday English.
cultured,	クレジット,I cultured the report.
cultures,	債権者,We found several cultures.
uncultured,	債権 者,I uncultured the report.
design,	クレジット,Design is used frequently in academic and everyday English.
designed,文化,I designed the report.
designer,	文化的な,She is an designer.
designers,	文化的,We found several designers.
designing,	彧,They are designing the results.
designs,	文化,We found several designs.
distinct,	無教養,Distinct is used frequently in academic and everyday English.
distinction,設計,Distinction is used frequently in academic and everyday English.
distinctions,	設計,We found several distinctions.
distinctive,	デザイナー,Distinctive is used frequently in academic and everyday English.
distinctively,	デザイナー,Distinctively is used frequently in academic and everyday English.
distinctly,	設計,Distinctly is used frequently in academic and everyday English.
indistinct,	デザイン,Indistinct is used frequently in academic and everyday English.
indistinctly,朖,Indistinctly is used frequently in academic and everyday English.
element,	区別,Element is used frequently in academic and everyday English.
elements,	区別,We found several elements.
equate,	独特,Equate is used frequently in academic and everyday English.
equated,	独特,I equated the report.
equates,	はっきり,We found several equates.
equating,	不明,They are equating the results.
equation,	ぼうっと,Equation is used frequently in academic and everyday English.
equations,要素,We found several equations.
evaluate,	元素,Please evaluate the quality of the service.
evaluated,同一視,I evaluated the report.
evaluates,	同一視,We found several evaluates.
evaluating,	相当,They are evaluating the results.
evaluation,	一致,Evaluation is used frequently in academic and everyday English.
evaluations,	方程式,We found several evaluations.
evaluative,	方程式,Evaluative is used frequently in academic and everyday English.
re-evaluate,評,Re-evaluate is used frequently in academic and everyday English.
re-evaluated,	評価,I re-evaluated the report.
re-evaluates,	評価,We found several re-evaluates.
re-evaluating,	評価,They are re-evaluating the results.
re-evaluation,	評価,Re-evaluation is used frequently in academic and everyday English.
feature,	評価,Feature is used frequently in academic and everyday English.
featured,	評価,I featured the report.
features,	再評価,We found several features.
featuring,	再評価,They are featuring the results.
final,	再評価,Final is used frequently in academic and everyday English.
finalise,	再評価,Finalise is used frequently in academic and everyday English.
finalised,	再評価,I finalised the report.
finalises,特徴,We found several finalises.
finalising,	注目,They are finalising the results.
finalize,	顔立ち,Finalize is used frequently in academic and everyday English.
finalized,	特徴,I finalized the report.
finalizes,最終的な,We found several finalizes.
finalizing,	終了,They are finalizing the results.
finality,	最終版,Finality is used frequently in academic and everyday English.
finally,	確定,Finally is used frequently in academic and everyday English.
finals,	ファイナライズ,We found several finals.
focus,	ファイナライズ,We found several focus.
focused,	確定,I focused the report.
focuses,	終了,We found several focuses.
focusing,	確定,They are focusing the results.
focussed,	きっぱり,I focussed the report.
focussing,	最終的に,They are focussing the results.
refocus,	決勝,We found several refocus.
refocused,焦点,I refocused the report.
refocuses,	集中,We found several refocuses.
refocusing,	焦点,They are refocusing the results.
refocussed,	中心,I refocussed the report.
refocusses,	焦点,We found several refocusses.
refocussing,	焦点,They are refocussing the results.
impact,	再び,The new law had a major impact on businesses.
impacted,	合わせた,I impacted the report.
impacting,	焦点を合わせ直す,They are impacting the results.
