category,other forms,japanese root,japanese others
define,defined ,,定義 
define,defines,,定義
define,defining,,定義
define,definition,,定義
define,definitions,,定義
define,redefine,,定義
define,redefined,,定義
define,redefines,,再
define,redefining,,再
define,undefined,,未定義
derive,,導き出す,
derive,derivation,,派生
derive,derivations,,派生
derive,derivative ,,派生語 
derive,derivatives ,,誘導 体 
derive,derived ,,派生 
derive,derives,,派生
derive,deriving,,派生
distribute,,配る,
distribute,distributed,,分散
distribute,distributing,,配布
distribute,distribution ,,流通 
distribute,distributional ,,分布 
distribute,distributions,,分布
distribute,distributive,,分配
distribute,distributor ,,ディストリビューター 
distribute,distributors,,代理店
distribute,redistribute,,再 分配
distribute,redistributed,,再 分配
distribute,redistributes,,再配布
distribute,redistributing,,再 分配
distribute,redistribution,,再配分
economy,,経済,
economy,economic,,経済的
economy,economical,,徳用
economy,economically,,経済的
economy,economics ,,経済学 
economy,economies,,経済
economy,economist,,エコノミスト
economy,economists,,エコノミスト
economy,uneconomical,,不経済
environment ,,環境 ,
environment ,environmental ,,環境 
environment ,environmentalist  ,,環境保護主義者  
environment ,environmentalists ,,環境 
environment ,environmentally,,環境
environment ,environments,,環境
establish,,作る,
establish,disestablish  ,,ディスエスタブルメント  
establish,disestablished,,確立されていない
establish,disestablishes,,ディスアソシエーション
establish,disestablishing,,ディスアスティッシング
establish,disestablishment,,ディスエスタブリッシュメント
establish,established,,既成
establish,establishes,,確立
establish,establishing,,確立
establish,establishment,,確立
establish,establishments,,施設
estimate ,,見積もる ,
estimate ,estimated,,推定
estimate ,estimates ,,見積もり 
estimate ,estimating,,推定
estimate ,estimation,,推定
estimate ,estimations,,見積もり
estimate ,over‑estimate,,買い被る
estimate ,overestimate,,買い被る
estimate ,overestimated,,過大 評価
estimate ,overestimates,,過大評価
estimate ,overestimating,,過大 評価
estimate ,underestimate,,過小評価する
estimate ,underestimated,,過小 評価
estimate ,underestimates,,過小 評価
estimate ,underestimating,,過小 評価
evident,,明らか,
evident,evidenced,,証明
evident,evidence,,証拠
evident,evidential ,,証拠 
evident,evidently,,明らかに
export,,輸出,
export,exported,,エクスポート
export,exporter,,輸出
export,exporters,,輸出 業者
export,exporting,,エクスポート
export,exports,,輸出
factor,,因子,
factor,factored,,考慮
factor,factoring,,ファクタリング
factor,factors,,要因
finance,,金融,
finance,financed,,融資
finance,finances,,金融
finance,financial,,金融
finance,financially,,財政
finance,financier ,,金融 
finance,financiers,,金融
finance,financing,,融資
formula,,式,
formula,formulae,,式
formula,formulas,,数式
formula,formulate,,定式化する
formula,formulated,,策定
formula,formulating,,策定
formula,formulation,,定式 化
formula,formulations,,製剤
formula,reformulate,,再定式化
formula,reformulated,,再処方
formula,reformulating,,再定式化
formula,reformulation,,改質
formula,reformulations,,再定式化
function,,機能,
function,functional,,機能的な
function,functionally,,機能的
function,functioned,,作用
function,functioning,,機能
function,functions,,関数
identify,,識別する,
identify,identifiable ,,識別 
identify,identification  ,,識別  
identify,identified,,識別
identify,identifies ,,識別 
identify,identifying,,判明
identify,identities,,アイデンティティ
identify,identity,,同一性
identify,unidentifiable ,,正体 不明 
income,,収入,
income,incomes,,収入
indicate ,,示す ,
indicate ,indicated,,示さ れた
indicate ,indicates ,,示す 
indicate ,indicating ,,示す 
indicate ,indication ,,表示 
indicate ,indications,,徴候
indicate ,indicative,,直説法
indicate ,indicator,,インジケータ
indicate ,indicators,,指標
individual  ,,個体  ,
individual  ,individualised,,個別化
individual  ,individuality,,個性
individual  ,individualism,,個人主義
individual  ,individualist,,インディビジュアリスト
individual  ,individualists,,個人主義者
individual  ,individualistic,,個人
individual  ,individually,,個別的に
individual  ,individuals ,,個人 
interpret,,解釈する,
interpret,interpretation,,解釈
interpret,interpretations  ,,解釈  
interpret,interpretative ,,解釈 
interpret,interpreted,,解釈
interpret,interpreting ,,解釈 
interpret,interpretive,,解釈
interpret,interprets,,解釈
interpret,misinterpret,,誤解
interpret,misinterpretation,,誤解
interpret,misinterpretations,,誤解
interpret,misinterpreted,,誤って 解釈
interpret,misinterpreting,,誤って 解釈
interpret,misinterprets,,誤解
interpret,reinterpret,,解釈
interpret,reinterpreted,,解釈
interpret,reinterprets,,再
interpret,reinterpreting,,再
interpret,reinterpretation,,解釈
interpret,reinterpretations,,再解釈
involve,,巻き込む,
,involved,,複雑
,involvement,,関与
,involves,,含む
,involving,,含む
,uninvolved,,関与していない
issue,,発行,
,issued,,発行
,issues,,問題
,issuing,,発行
labour,,労働,
,labor,,労働
,labored,,こじつけ
,labors,,労働
,laboured,,苦心
,labouring,,労働
,labours,,労働
legal,,合法,
,illegal  ,,違法  
,illegality,,違法
,illegally,,違法に
,legality,,合法
,legally,,法的
legislate,,制定する,
,legislated,,制定
,legislates,,立法府
,legislating,,立法
,legislation,,法制
,legislative,,立法権
,legislator,,立法者
,legislators,,議員
,legislature,,立法府
major ,,少佐 ,
,majorities,,大半
,majority,,過半数
method,,方式,
,methodical,,几帳面
,methodological,,方法論
,methodologies,,方法
,methodology,,方法論
,methods ,,メソッド 
occur,,起る,
,occurred,,発生
,occurrence ,,発生 
,occurrences,,発生
,occurring,,発生
,occurs,,発生
,reoccur ,,再発 
,reoccurred ,,再発 
,reoccurring,,再発
,reoccurs ,,再発 
percent ,,パーセント ,
,percentage,,百分率
,percentages,,割合
period,,時代,
,periodic,,周期的
,periodical,,定期刊行物
,periodically,,定期的
,periodicals,,雑誌
,periods,,期間
policy,,政策,
,policies ,,檄 
principle,,原理,
,principled,,原則
,principles,,原則
,unprincipled,,無節操
proceed,,進む,
,procedural,,手続き型
,procedure,,プロシージャ
,procedures,,手続き
,proceeded,,進んだ
,proceeding,,行程
,proceedings,,議事
,proceeds,,収益
process,,過程,
,processed,,処理
,processes,,プロセス
,processing ,,加工 
require,,要する,
,required,,必須
,requirement,,要件
,requirements ,,必要条件 
,requires,,必要
,requiring,,必要
research,,研究,
,researched,,研究
,researcher,,研究員
,researchers ,,研究 
,researches,,研究
,researching,,研究
respond,,応じる,
,responded,,答えた
,respondent,,回答者
,respondents,,回答
,responding,,応答
,responds,,応答
,response,,応答
,responses,,応答
,responsive,,応答
,responsiveness,,応答
,unresponsive ,,応答 
role,,役割,
,roles,,役割
section,,節,
,sectioned,,断面
,sectioning,,セクショニング
,sections ,,セクション 
sector,,セクター,
,sectors,,セクター
significant,,重要な,
,insignificant,,名も無い
,insignificantly,,取るに足らない
, significance,, 意味
,significantly ,,著しく 
,signified,,シニフィエ
,signifies,,意味
,signify,,表す
,signifying,,意味
similar,,同じような,
,dissimilar,,異種
,similarities,,類似 点
,similarity ,,相似 
,similarly,,同じように
source,,源,
,sourced,,出典
,sources ,,ソース 
,sourcing,,ソーシング
specific,,特定,
,specifically,,具体的には
,specification ,,仕様 
,specifications,,仕様
,specificity,,特異 性
,specifics,,詳細
structure,,構造,
,restructure,,再 構築
,restructured,,再 構築
,restructures,,再 構築
,restructuring,,再 構築
,structural,,構造
,structurally,,構造
,structured ,,構造 
,structures,,構造
,structuring,,構造
,unstructured,,非構造化
theory,,理論,
,theoretical,,理論
,theoretically,,理論上
,theories,,理論
,theorist,,理論家
,theorists,,理論
vary,,異なる,
,invariable,,不変
,invariably,,常に
,variability,,可変
,variable ,,変数 
,variables,,変数
,variably,,常
,variance,,分散
,variant,,バリアント
,variants,,バリアント
,variation,,バリエーション
,variations ,,バリエーション 
,varied,,変化
,varies,,異なります
,varying,,変化
,,,
,,,
,,,
,,,
,,アカデミックワードリストのサブリスト2,
Sublist 2 of the Academic Word List,,,
,,,
,,達成する ,
achieve ,,,達成
,achievable,,達成
,achieved,,達成
,achievement,,実績
,achievements,,実現
,achieves,,達成
,achieving,取得する,
acquire,,,後天性 
,acquired ,,取得
,acquires,,取得
,acquiring,,取得
,acquisition,,買収
,acquisitions,管理,
administrate,,,管理者
,administrates,,行政  
,administration  ,,政権  
,administrations  ,,行政 
,administrative ,,管理
,administratively,,管理者
,administrator,,管理者
,administrators,障る,
affect,,,影響
,affected,,影響を与える
,affecting,,感情
,affective,,感情的
,affectively,,影響
,affects,,影響
,unaffected,適切 ,
appropriate ,,,適切性
,appropriacy,,適当に
,appropriately,,てきせつ
,appropriateness,,不適切 
,inappropriacy ,,不適当
,inappropriate,,不適切
,inappropriately,アスペクト,
aspect,,,側面
,aspects,手伝う,
assist,,,援助 
,assistance ,,助手
,assistant,,アシスタント
,assistants,,支援
,assisted,,支援
,assisting,,アシスト
,assists,,自力
,unassisted,カテゴリ ,
category ,,,カテゴリ
,categories,,分類
,categorisation,,分類
,categorise,,分類
,categorised,,カテゴリ分け
,categorises,,分類
,categorising,,分類
,categorization,,分類
,categorized,,分類
,categorizes,,分類 
,categorizing ,章,
chapter,,,章
,chapters,手数料,
commission,,,委託
,commissioned,,コミッショナー
,commissioner,,委員
,commissioners,,試運転
,commissioning,,手数料
,commissions,コミュニティ,
community,,,コミュニティ
,communities,コンプレックス ,
complex ,,,複雑さ
,complexities,,複雑さ 
,complexity ,計算する ,
compute ,,,計算
,computation,,計算
,computational,,計算
,computations,,計算可能
,computable,,コンピュータ
,computer,,計算
,computed,,コンピュータ化
,computerised,,コンピューター
,computers,,コンピューティング
,computing,結論,
conclude,,,締結
,concluded,,結論
,concludes,,締結
,concluding,,結論
,conclusion,,結論 
,conclusions ,,決定的
,conclusive,,決定的
,conclusively,,決定的
,inconclusive,,結論が出ない
,inconclusively,行為,
conduct,,,実施 
,conducted ,,実施
,conducting,,行って
,conducts,後件,
consequent,,,結果
,consequence,,結果
,consequences,,したがいまして
,consequently,建てる ,
construct ,,,構築 
,constructed ,,構築 
,constructing ,,建設
,construction,,構造
,constructions,,建設的な 
,constructive ,,構築
,constructs,,建て直す
,reconstruct,,再 構築
,reconstructed,,再 構築
,reconstructing,,再建
,reconstruction,,再 構築
,reconstructs,使う,
consume,,,消費
,consumed,,消費者  
,consumer  ,,消費 者 
,consumers ,,消費
,consumes,,消費
,consuming,,消費
,consumption,信用,
credit,,,入金
,credited,,クレジット
,crediting,,債権者
,creditor,,債権 者
,creditors,,クレジット
,credits,文化,
culture,,,文化的な 
,cultural ,,文化的
,culturally,,彧
,cultured,,文化  
,cultures  ,,無教養
,uncultured,設計,
design,,,設計 
,designed ,,デザイナー
,designer,,デザイナー
,designers,,設計
,designing,,デザイン 
,designs ,朖 ,
distinct ,,,区別
,distinction,,区別 
,distinctions ,,独特 
,distinctive ,,独特
,distinctively,,はっきり
,distinctly,,不明
,indistinct,,ぼうっと
,indistinctly,要素,
element,,,元素 
,elements ,同一視 ,
equate ,,,同一視 
,equated ,,相当
,equates,,一致
,equating,,方程式
,equation,,方程式
,equations,評,
evaluate,,,評価
,evaluated,,評価
,evaluates,,評価
,evaluating,,評価 
,evaluation ,,評価
,evaluations,,評価
,evaluative,,再評価 
,re-evaluate ,,再評価 
,re-evaluated ,,再評価
,re-evaluates,,再評価 
,re-evaluating ,,再評価
,re-evaluation,特徴,
feature,,,注目
,featured,,顔立ち 
,features ,,特徴
,featuring,最終的な,
final,,,終了
,finalise,,最終版
,finalised,,確定
,finalises,,ファイナライズ
,finalising,,ファイナライズ
,finalize,,確定
,finalized,,終了
,finalizes,,確定
,finalizing,,きっぱり
,finality,,最終的に
,finally,,決勝
,finals,焦点,
focus,,,集中
,focused,,焦点
,focuses,,中心
,focusing,,焦点
,focussed,,焦点
,focussing,,再び
,refocus,,合わせた
,refocused,,焦点を合わせ直す
,refocuses,,移す
,refocusing,,再フォーカス 
,refocussed ,,再フォーカス
,refocusses,,再フォーカス
,refocussing,インパクト,
impact,,,影響
,impacted,,影響
,impacting,,影響
,impacts,傷つける ,
injure ,,,傷付いた
,injured,,傷つける
,injures,,傷害
,injuries,,負傷
,injuring,,怪我
,injury,,無傷
,uninjured,学院 ,
institute ,,,制定
,instituted,,機関
,institutes,,制定
,instituting,,施設
,institution,,機関
,institutional,,制度化 
,institutionalise ,,制度化 
,institutionalised ,,施設化 
,institutionalises ,,制度化 
,institutionalising ,,制度
,institutionalized,,制度化 
,institutionalizes ,,制度化 
,institutionalizing ,,制度的に
,institutionally,,機関
,institutions,投じる,
invest,,,投資
,invested,,投資
,investing,,投資
,investment,,投資
,investments,,出資者
,investor,,投資 家
,investors,,投資
,invests,,再
,reinvest,,再投資
,reinvested,,逆行
,reinvesting,,再
,reinvestment,,再投資
,reinvests,アイテム,
item,,,アイテム化
,itemisation,,アイテム
,itemise,,アイテム別
,itemised,,アイテム  
,itemises  ,,アイテム化
,itemising,,項目
,items,日誌 ,
journal ,,,仕訳 帳
,journals,保つ,
maintain,,,維持 
,maintained ,,維持 
,maintaining ,,維持
,maintains,,メンテナンス
,maintenance,正常,
normal,,,異常
,abnormal,,異常に
,abnormally,,正常化
,normalisation,,正規化
,normalise,,正規化
,normalised,,標準化
,normalises,,正規化
,normalising,,正常化
,normalization,,ノーマライズ
,normalize,,正規化
,normalized,,正規化
,normalizes,,正規化
,normalizing,,正常
,normality,,通常であれば
,normally,手に入る,
obtain,,,得 られる
,obtainable,,取得 
,obtained ,,入手
,obtaining,,取得
,obtains,,入らない 
,unobtainable ,参加する ,
participate ,,,参加者
,participant,,参加者
,participants,,参加
,participated,,参加
,participates,,参加 
,participating ,,参加
,participation,,参加
,participatory,悟る,
perceive,,,知覚 
,perceived ,,認識
,perceives,,知覚 
,perceiving ,,知覚 
,perception ,,認識 
,perceptions ,＋ ,
positive ,,,積極的に 
,positively ,ポテンシャル,
potential,,,可能性 
,potentially ,先の,
previous,,,先に 
,previously ,原発 ,
primary ,,,元来 
,primarily ,買う ,
purchase ,,,購入
,purchased,,買主
,purchaser,,購入
,purchasers,,購入
,purchases,,購買
,purchasing,範囲 ,
range ,,,範囲
,ranged,,範囲
,ranges,,まで
,ranging,地域,
region,,,リージョナル
,regional,,地方
,regionally,,地域
,regions,治,
regulate,,,規制 緩和
,deregulated,,規制緩和
,deregulates,,規制緩和
,deregulating,,ディレギュレーション
,deregulation,,規制
,regulated,,調節
,regulates,,規制
,regulating,,規制 
,regulation ,,規則
,regulations,,制御器
,regulator,,レギュレータ
,regulators,,規制
,regulatory,,野放図な 
,unregulated ,関連した ,
relevant ,,,見当違い
,irrelevance,,無関係
,irrelevant,,関連性
,relevance,住む ,
reside ,,,住んで
,resided,,居住
,residence,,住民
,resident,,住宅
,residential,,住民
,residents,,存在
,resides,,居住
,residing,資源,
resource,,,リソース供給
,resourced,,才略の有る
,resourceful,,リソース
,resources,,リソーシング
,resourcing,,機知に乏しい
,unresourceful,,リソース不足
,under-resourced,限る,
restrict,,,制限 
,restricted ,,制限
,restricting,,拘束 
,restriction ,,制限
,restrictions,,限定的
,restrictive,,制限的に 
,restrictively ,,制限
,restricts,,無制限
,unrestricted,,制限なし
,unrestrictive,牢,
secure,,,不安
,insecure,,不安
,insecurities,,不安
,insecurity,,確保
,secured,,安全
,securely,,確保
,secures,,確保
,securing,,証券
,securities,,安全 
,security ,探す,
seek,,,求めて
,seeking,,シーク
,seeks,,求めた
,sought,選ぶ,
select,,,入選
,selected,,選択
,selecting,,選定 
,selection ,,選択
,selections,,選択
,selective,,選択
,selectively,,セレクタ
,selector,,セレクター
,selectors,,選択
,selects,敷地,
site,,,サイト
,sites,戦略 ,
strategy ,,,戦略的な 
,strategic ,,戦略
,strategies,,戦略 的
,strategically,,戦略家
,strategist,,戦略
,strategists,アンケート,
survey,,,調査
,surveyed,,測量
,surveying,,調査
,surveys,テキスト,
text,,,テキスト
,texts,,テキスト
,textual,伝統 ,
tradition ,,,非伝統的な
,non‑traditional,,トラディショナル
,traditional,,伝統主義者
,traditionalist,,伝統的
,traditionally,,伝統
,traditions,移転,
transfer,,,譲渡
,transferable,,転移
,transference,,転送 
,transferred ,,転送
,transferring,,転送
,transfers,,
,,アカデミックワードリストのサブリスト3 ,
Sublist 3 of Academic Word List ,,,
,,,
,,オルターナティブ,
alternative,,,また
,alternatively,,選択肢
,alternatives,事情,
circumstance,,,状況 
,circumstances ,コメント,
comment,,,論評
,commentaries,,解説
,commentary,,コメンテーター
,commentator,,コメンテーター
,commentators,,コメント
,commented,,コメント
,commenting,,コメント
,comments,補償する,
compensate,,,補償 
,compensated ,,補正
,compensates,,補償
,compensating,,補償
,compensation,,補償
,compensations,,代償 
,compensatory ,コンポーネント ,
component ,,,コンポーネント
,componentry,,コンポーネント
,components,同意,
consent,,,コンセンサス
,consensus,,同意
,consented,,同意
,consenting,,同意
,consents,かなり,
considerable,,,大分
,considerably,定数 ,
constant ,,,恒常
,constancy,,絶えず
,constantly,,定数
,constants,,心変わり
,inconstancy,,不定休
,inconstantly,制約,
constrain,,,制約
,constrained,,制約
,constraining,,制約
,constrains,,制約 
,constraint ,,制約
,constraints,,洒脱 
,unconstrained ,貢献する ,
contribute ,,,貢献 
,contributed ,,貢献
,contributes,,貢献 
,contributing ,,寄付
,contribution,,貢献
,contributions,,投稿者
,contributor,,貢献
,contributors,呼び集める ,
convene ,,,大会
,convention,,規則
,convenes,,招集
,convened,,招集
,convening,,コンベンショナル
,conventional,,従来は
,conventionally,,規則 
,conventions ,,奇抜
,unconventional,座標,
coordinate,,,調整 
,coordinated ,,座標
,coordinates,,調整
,coordinating,,コーディネーション
,coordination,,コーディネーター 
,coordinator ,,コーディネーター
,coordinators,,コーディネート
,co-ordinate,,調整 
,co‑ordinated ,,座標
,co‑ordinates,,調整
,co‑ordinating,,コーディネーション 
,co‑ordination ,,コーディネーター
,co‑ordinator,,コーディネーター
,co‑ordinators,コア,
core,,,コア
,cores,,コアリング
,coring,,入り 
,cored ,企業 ,
corporate ,,,法人 
,corporates ,,会社
,corporation,,企業 
,corporations ,対応,
correspond,,,対応
,corresponded,,対応
,correspondence,,該当
,corresponding,,対応 
,correspondingly ,,対応 
,corresponds ,条件,
criteria,,,基準
,criterion,推測,
deduce,,,推定
,deduced,,推論
,deduces,,控除
,deducing,,控除
,deduction,,控除
,deductions,証明する ,
demonstrate ,,,実証
,demonstrable,,明白 
,demonstrably ,,実証
,demonstrated,,示します 
,demonstrates ,,示す
,demonstrating,,デモ 
,demonstration ,,デモ
,demonstrations,,指示詞
,demonstrative,,デモンストレーション的に
,demonstratively,,デモンストレーター
,demonstrator,,デモ 隊
,demonstrators,文書,
document,,,ドキュメンテーション
,documentation,,記載
,documented,,文書
,documenting,,書類 
,documents ,支配する,
dominate,,,優性
,dominance,,ドミナント
,dominant,,支配
,dominated,,支配
,dominates,,支配
,dominating,,支配
,domination,強調 ,
emphasis ,,,強調
,emphasise,,強調
,emphasised,,強調
,emphasising,,強調する
,emphasize,,強調
,emphasized,,強調
,emphasizes,,強調
,emphasizing,,強調
,emphatic,,きっぱり
,emphatically,確保,
ensure,,,確保
,ensured,,により
,ensures,,確保
,ensuring,除外する,
exclude,,,除外
,excluded,,除外
,excludes,,除く
,excluding,,除外
,exclusion,,排他的
,exclusionary,,排他主義者
,exclusionist,,除外
,exclusions,,排他的
,exclusive,,だけ 
,exclusively ,フレームワーク ,
framework ,,,フレームワーク
,frameworks,基金,
fund,,,資金 
,funded ,,資金提供者
,funder,,出資
,funders,,融資
,funding,,元手
,funds,説明 ,
illustrate ,,,示す 
,illustrated ,,示します 
,illustrates ,,示す
,illustrating,,図 
,illustration ,,イラスト
,illustrations,,例示
,illustrative,移民する,
immigrate,,,移民
,immigrant,,移民
,immigrants,,移住
,immigrated,,移民
,immigrates,,移住
,immigrating,,イミグレーション
,immigration,ほのめかす,
imply,,,暗黙
,implied,,意味
,implies,,意味
,implying,イニシャル ,
initial ,,,最初
,initially,例 ,
instance ,,,インスタンス 
,instances ,相呼応する,
interact,,,相互 作用
,interacted,,相互 作用
,interacting,,相互作用
,interaction,,相互 作用
,interactions,,インテラクティブ
,interactive,,対話的
,interactively,,対話
,interacts,言い開く ,
justify ,,,正当
,justifiable,,正当
,justifiably,,ジャスティフィケーション
,justification,,正当 化
,justifications,,正当 化
,justified,,正当 化
,justifies,,正当 化
,justifying,,不当
,unjustified,層,
layer,,,層状
,layered,,取り木
,layering,,層
,layers,リンク,
link,,,連動
,linkage,,連携
,linkages,,リンク
,linked,,リンク
,linking,,リンクス
,links,見付ける,
locate,,,位置
,located,,検索
,locating,,場所
,location,,場所
,locations,,移転
,relocate,,移転
,relocated,,移転
,relocates,,移転
,relocating,,移転
,relocation,最大限,
maximise,,,マックス 
,max ,,最大化
,maximised,,最大
,maximises,,最大限
,maximising,,最大化
,maximisation,,最大化する 
,maximize ,,最大
,maximized,,マキシム 
,maximizes ,,最大
,maximizing,,最大化  
,maximization  ,,最大
,maximum,マイナー,
minor,,,少数
,minorities,,少数
,minority,,未成年 者
,minors,打ち消す ,
negate ,,,－
,negative,,否定
,negated,,否定
,negates,,否定
,negating,,負
,negatively,,ネガ
,negatives,結果,
outcome,,,結果
,outcomes,パートナー,
partner,,,パートナー
,partners,,パートナーシップ
,partnership,,パートナーシップ 
,partnerships ,哲学 ,
philosophy ,,,哲人
,philosopher,,哲学 者
,philosophers,,哲学的
,philosophical,,哲学 
,philosophically ,,哲学
,philosophies,,フィロソフィー 
,philosophise ,,哲学的
,philosophised,,哲学的
,philosophises,,哲学
,philosophising,,思索
,philosophize,,哲学的
,philosophized,,哲学
,philosophizes,,哲学
,philosophizing,形而下 ,
physical ,,,物理的
,physically,比率 ,
proportion ,,,不均衡
,disproportion,,不均衡
,disproportionate,,偏って
,disproportionately,,比例
,proportional,,比例
,proportionally,,比例
,proportionate,,比例 
,proportionately ,,割合
,proportions,著す,
publish,,,公開 
,published ,,発行者 
,publisher ,,出版 社
,publishers,,発行
,publishes,,出版
,publishing,,未発表
,unpublished,反応する ,
react ,,,反応 
,reacted ,,反応
,reacts,,反応
,reacting,,反応
,reaction,,反動
,reactionaries,,反動
,reactionary,,反応
,reactions,,反応
,reactive,,再 アクティブ 化
,reactivate,,再 アクティブ 化
,reactivation,,原子炉
,reactor,,原子炉
,reactors,登録する,
register,,,登録解除 
,deregister ,,登録抹消 
,deregistered ,,登録解除
,deregistering,,登録解除 
,deregisters ,,登録解除 
,deregistration ,,登録 
,registered ,,登録
,registering,,レジスタ
,registers,,登録 
,registration ,頼る,
rely,,,確実 
,reliability ,,頼もしい
,reliable,,確実
,reliably,,信頼
,reliance,,リライアント 
,reliant ,,頼って
,relied,,依存
,relies,,頼る
,relying,,危うい
,unreliable,取り去る,
remove,,,リムーバブル
,removable,,除去
,removal,,削除
,removals,,削除
,removed,,削除
,removes,,削除
,removing,計画,
scheme,,,スケマティック
,schematic,,概略的に
,schematically,,スキーム
,schemed,,スキーム
,schemes,,工夫
,scheming,順序,
sequence,,,シーケンス
,sequenced,,シーケンス
,sequences,,シークエンシング
,sequencing,,シーケンシャル
,sequential,,順次
,sequentially,性,
sex,,,男女 
,sexes ,,性差別 
,sexism ,,性的
,sexual,,有性
,sexuality,,性的
,sexually,動く,
shift,,,シフト
,shifted,,シフト
,shifting,,シフト
,shifts,指定,
specify,,,指定可能
,specifiable,,指定 
,specified ,,指定
,specifies,,指定
,specifying,,未指定
,unspecified,足りる,
sufficient,,,充足
,sufficiency,,不十分
,insufficient,,不十分
,insufficiently,,十分
,sufficiently,タスク,
task,,,用事
,tasks,テクニカル ,
technical ,,,技術的
,technically,技術,
technique,,,技術
,techniques,テクノロジー,
technology,,,技術
,technological,,技術的
,technologically,有効,
valid,,,無効
,invalidate,,無効
,invalidity,,検証
,validate,,検証
,validated,,検証
,validating,,検証
,validation,,有効
,validity,,有効
,validly,容積,
volume,,,ボリューム   
,volumes   ,,ボリューム 
,vol ,,
,,,
,,アカデミックワードリストのサブリスト4,
Sublist 4 of the Academic Word List,,,
,,アクセス,
access,,,アクセス
,accessed,,アクセス
,accesses,,アクセシビリティ
,accessibility,,アクセス
,accessible,,アクセス
,accessing,,アクセス
,inaccessible,十分,
adequate,,,剴切
,adequacy,,十分
,adequately,,不備
,inadequacies,,不適当
,inadequacy,,不十分
,inadequate,,不十分
,inadequately,一年生,
annual,,,毎年
,annually,一目瞭然,
apparent,,,どうやら 
,apparently ,アバウト,
approximate,,,近似
,approximated,,約
,approximately,,近似
,approximates,,近似
,approximating,,近似
,approximation,,近似
,approximations,姿勢,
attitude,,,態度 
,attitudes ,属性,
attribute,,,起因 
,attributable ,,起因 
,attributed ,,属性
,attributes,,帰
,attributing,,帰属
,attribution,民事上,
civil,,コード,
code,,,コード 
,coded ,,コード
,codes,,コーディング 
,coding ,犯す,
commit,,,言質 
,commitment ,,コミットメント
,commitments,,コミット
,commits,,コミット
,committed,,コミット
,committing,伝える,
communicate,,,伝染
,communicable,,伝達
,communicated,,通信
,communicates,,通信
