English,Japanese,context
specifics,"	詳細",We found several specifics.
structure,構造,The essay has a clear structure.
restructure,"	再 構築",
restructured,"	再 構築",I restructured the report.
restructures,"	再 構築",We found several restructures.
restructuring,"	再 構築",They are restructuring the results.
structural,"	構造",
structurally,"	構造",
structured,"	構造",I structured the report.
structures,"	構造",We found several structures.
structuring,"	構造",They are structuring the results.
unstructured,"	非構造化",I unstructured the report.
theory,理論,
theoretical,"	理論",
theoretically,"	理論上",
theories,"	理論",We found several theories.
theorist,"	理論家",
theorists,"	理論",We found several theorists.
vary,異なる,Prices vary depending on the season.
invariable,"	不変",
invariably,"	常に",
variability,"	可変",
variable,"	変数",
variables,"	変数",We found several variables.
variably,"	常",
variance,"	分散",
variant,"	バリアント",
variants,"	バリアント",We found several variants.
variation,"	バリエーション",
variations,"	バリエーション",We found several variations.
varied,"	変化",I varied the report.
varies,"	異なります",We found several varies.
varying,"	変化",They are varying the results.
Sublist 2 of the Academic Word List,,
achieve,,
achievable,,
achieved,,I achieved the report.
achievement,,
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,
acquired,"	達成",I acquired the report.
acquires,"	達成",We found several acquires.
acquiring,"	達成",They are acquiring the results.
acquisition,"	実績",
acquisitions,"	実現",We found several acquisitions.
administrate,"	達成",
administrates,取得する,We found several administrates.
administration,"	後天性",
administrations,"	取得",We found several administrations.
administrative,"	取得",
administratively,"	取得",
administrator,"	買収",She is an administrator.
administrators,管理,We found several administrators.
affect,"	管理者",
affected,"	行政",I affected the report.
affecting,"	政権",They are affecting the results.
affective,"	行政",
affectively,"	管理",
affects,"	管理者",We found several affects.
unaffected,"	管理者",I unaffected the report.
appropriate,障る,
appropriacy,"	影響",
appropriately,"	影響を与える",
appropriateness,"	感情",
inappropriacy,"	感情的",
inappropriate,"	影響",
inappropriately,"	影響",
aspect,適切,
aspects,"	適切性",We found several aspects.
assist,"	適当に",He asked his friend to assist him with the task.
assistance,"	てきせつ",
assistant,"	不適切",
assistants,"	不適当",We found several assistants.
assisted,"	不適切",I assisted the report.
assisting,アスペクト,They are assisting the results.
assists,"	側面",We found several assists.
unassisted,手伝う,I unassisted the report.
category,"	援助",This book falls into the fiction category.
categories,"	助手",We found several categories.
categorisation,"	アシスタント",
categorise,分類する,
categorised,分類されている,I categorised the report.
categorises,"	アシスト",We found several categorises.
categorising,"	自力",They are categorising the results.
categorization,カテゴリ,
categorized,"	カテゴリ",I categorized the report.
categorizes,"	分類",We found several categorizes.
categorizing,"	分類",They are categorizing the results.
chapter,"	分類",She is an chapter.
chapters,"	カテゴリ分け",We found several chapters.
commission,"	分類",
commissioned,"	分類",I commissioned the report.
commissioner,"	分類",She is an commissioner.
commissioners,"	分類",We found several commissioners.
commissioning,"	分類",They are commissioning the results.
commissions,章,We found several commissions.
community,"	章",
communities,手数料,We found several communities.
complex,"	委託",
complexities,"	コミッショナー",We found several complexities.
complexity,"	委員",
compute,"	試運転",
computation,"	手数料",
computational,コミュニティ,
computations,"	コミュニティ",We found several computations.
computable,コンプレックス,
computer,"	複雑さ",She is an computer.
computed,"	複雑さ",I computed the report.
computerised,計算する,I computerised the report.
computers,"	計算",We found several computers.
computing,"	計算",They are computing the results.
conclude,"	計算",
concluded,"	計算可能",I concluded the report.
concludes,"	コンピュータ",We found several concludes.
concluding,"	計算",They are concluding the results.
conclusion,"	コンピュータ化",
conclusions,"	コンピューター",We found several conclusions.
conclusive,"	コンピューティング",
conclusively,結論,
inconclusive,"	締結",
inconclusively,"	結論",
conduct,"	締結",
conducted,"	結論",I conducted the report.
conducting,"	結論",They are conducting the results.
conducts,"	決定的",We found several conducts.
consequent,"	決定的",
consequence,"	決定的",
consequences,"	結論が出ない",We found several consequences.
consequently,行為,
construct,"	実施",
constructed,"	実施",I constructed the report.
constructing,"	行って",They are constructing the results.
construction,後件,
constructions,"	結果",We found several constructions.
constructive,"	結果",
constructs,"	したがいまして",We found several constructs.
reconstruct,建てる,
reconstructed,"	構築",I reconstructed the report.
reconstructing,"	構築",They are reconstructing the results.
reconstruction,"	建設",
reconstructs,"	構造",We found several reconstructs.
consume,"	建設的な",
consumed,"	構築",I consumed the report.
consumer,"	建て直す",She is an consumer.
consumers,"	再 構築",We found several consumers.
consumes,"	再 構築",We found several consumes.
consuming,"	再建",They are consuming the results.
consumption,"	再 構築",
credit,使う,
credited,"	消費",I credited the report.
crediting,"	消費者",They are crediting the results.
creditor,"	消費 者",She is an creditor.
creditors,"	消費",We found several creditors.
credits,"	消費",We found several credits.
culture,"	消費",
cultural,信用,
culturally,"	入金",
cultured,"	クレジット",I cultured the report.
cultures,"	債権者",We found several cultures.
uncultured,"	債権 者",I uncultured the report.
design,"	クレジット",
designed,文化,I designed the report.
designer,"	文化的な",She is an designer.
designers,"	文化的",We found several designers.
designing,"	彧",They are designing the results.
designs,"	文化",We found several designs.
distinct,"	無教養",
distinction,設計,
distinctions,"	設計",We found several distinctions.
distinctive,"	デザイナー",
distinctively,"	デザイナー",
distinctly,"	設計",
indistinct,"	デザイン",
indistinctly,朖,
element,"	区別",
elements,"	区別",We found several elements.
equate,"	独特",
equated,"	独特",I equated the report.
equates,"	はっきり",We found several equates.
equating,"	不明",They are equating the results.
equation,"	ぼうっと",
equations,要素,We found several equations.
evaluate,"	元素",Please evaluate the quality of the service.
evaluated,同一視,I evaluated the report.
evaluates,"	同一視",We found several evaluates.
evaluating,"	相当",They are evaluating the results.
evaluation,"	一致",
evaluations,"	方程式",We found several evaluations.
evaluative,"	方程式",
re-evaluate,評,
re-evaluated,"	評価",I re-evaluated the report.
re-evaluates,"	評価",We found several re-evaluates.
re-evaluating,"	評価",They are re-evaluating the results.
re-evaluation,"	評価",
feature,"	評価",
featured,"	評価",I featured the report.
features,"	再評価",We found several features.
featuring,"	再評価",They are featuring the results.
final,"	再評価",
finalise,"	再評価",
finalised,"	再評価",I finalised the report.
finalises,特徴,We found several finalises.
finalising,"	注目",They are finalising the results.
finalize,"	顔立ち",
finalized,"	特徴",I finalized the report.
finalizes,最終的な,We found several finalizes.
finalizing,"	終了",They are finalizing the results.
finality,"	最終版",
finally,"	確定",
finals,"	ファイナライズ",We found several finals.
focus,"	ファイナライズ",We found several focus.
focused,"	確定",I focused the report.
focuses,"	終了",We found several focuses.
focusing,"	確定",They are focusing the results.
focussed,"	きっぱり",I focussed the report.
focussing,"	最終的に",They are focussing the results.
refocus,"	決勝",We found several refocus.
refocused,焦点,I refocused the report.
refocuses,"	集中",We found several refocuses.
refocusing,"	焦点",They are refocusing the results.
refocussed,"	中心",I refocussed the report.
refocusses,"	焦点",We found several refocusses.
refocussing,"	焦点",They are refocussing the results.
impact,"	再び",The new law had a major impact on businesses.
impacted,"	合わせた",I impacted the report.
impacting,"	焦点を合わせ直す",They are impacting the results.
impacts,"	移す",We found several impacts.
injure,"	再フォーカス",
injured,"	再フォーカス",I injured the report.
injures,"	再フォーカス",We found several injures.
injuries,インパクト,We found several injuries.
injuring,"	影響",They are injuring the results.
injury,"	影響",
uninjured,"	影響",I uninjured the report.
institute,傷つける,
instituted,"	傷付いた",I instituted the report.
institutes,"	傷つける",We found several institutes.
instituting,"	傷害",They are instituting the results.
institution,"	負傷",
institutional,"	怪我",
institutionalise,"	無傷",
institutionalised,学院,I institutionalised the report.
institutionalises,"	制定",We found several institutionalises.
institutionalising,"	機関",They are institutionalising the results.
institutionalized,"	制定",I institutionalized the report.
institutionalizes,"	施設",We found several institutionalizes.
institutionalizing,"	機関",They are institutionalizing the results.
institutionally,"	制度化",
institutions,"	制度化",We found several institutions.
invest,"	施設化",
invested,"	制度化",I invested the report.
investing,"	制度",They are investing the results.
investment,"	制度化",
investments,"	制度化",We found several investments.
investor,"	制度的に",She is an investor.
investors,"	機関",We found several investors.
invests,投じる,We found several invests.
reinvest,"	投資",
reinvested,"	投資",I reinvested the report.
reinvesting,"	投資",They are reinvesting the results.
reinvestment,"	投資",
reinvests,"	出資者",We found several reinvests.
item,"	投資 家",
itemisation,"	投資",
itemise,"	再",
itemised,"	再投資",I itemised the report.
itemises,"	逆行",We found several itemises.
itemising,"	再",They are itemising the results.
items,"	再投資",We found several items.
journal,アイテム,
journals,"	アイテム化",We found several journals.
maintain,"	アイテム",He tries to maintain good health.
maintained,"	アイテム別",I maintained the report.
maintaining,"	アイテム",They are maintaining the results.
maintains,"	アイテム化",We found several maintains.
maintenance,"	項目",
normal,日誌,
abnormal,"	仕訳 帳",
abnormally,保つ,
normalisation,"	維持",
normalise,"	維持",
normalised,"	維持",I normalised the report.
normalises,"	メンテナンス",We found several normalises.
normalising,正常,They are normalising the results.
normalization,"	異常",
normalize,"	異常に",
normalized,"	正常化",I normalized the report.
normalizes,"	正規化",We found several normalizes.
normalizing,"	正規化",They are normalizing the results.
normality,"	標準化",
normally,"	正規化",
obtain,"	正常化",You need a permit to obtain that license.
obtainable,"	ノーマライズ",
obtained,"	正規化",I obtained the report.
obtaining,"	正規化",They are obtaining the results.
obtains,"	正規化",We found several obtains.
unobtainable,"	正常",
participate,"	通常であれば",He decided to participate in the school play.
participant,手に入る,
participants,"	得 られる",We found several participants.
participated,"	取得",I participated the report.
participates,"	入手",We found several participates.
participating,"	取得",They are participating the results.
participation,"	入らない",
participatory,参加する,
perceive,"	参加者",
perceived,"	参加者",I perceived the report.
perceives,"	参加",We found several perceives.
perceiving,"	参加",They are perceiving the results.
perception,"	参加",
perceptions,"	参加",We found several perceptions.
positive,"	参加",
positively,悟る,
potential,"	知覚",
potentially,"	認識",
previous,"	知覚",We found several previous.
previously,"	知覚",
primary,"	認識",
primarily,＋,
purchase,"	積極的に",
purchased,ポテンシャル,I purchased the report.
purchaser,"	可能性",She is an purchaser.
purchasers,先の,We found several purchasers.
purchases,"	先に",We found several purchases.
purchasing,原発,They are purchasing the results.
range,"	元来",
ranged,買う,I ranged the report.
ranges,"	購入",We found several ranges.
ranging,"	買主",They are ranging the results.
region,"	購入",
regional,"	購入",
regionally,"	購買",
regions,範囲,We found several regions.
regulate,"	範囲",
deregulated,"	範囲",I deregulated the report.
deregulates,"	まで",We found several deregulates.
deregulating,地域,They are deregulating the results.
deregulation,"	リージョナル",
regulated,"	地方",I regulated the report.
regulates,"	地域",We found several regulates.
regulating,治,They are regulating the results.
regulation,"	規制 緩和",
regulations,"	規制緩和",We found several regulations.
regulator,"	規制緩和",She is an regulator.
regulators,"	ディレギュレーション",We found several regulators.
regulatory,"	規制",
unregulated,"	調節",I unregulated the report.
relevant,"	規制",
irrelevance,"	規制",
irrelevant,"	規則",
relevance,"	制御器",
reside,"	レギュレータ",
resided,"	規制",I resided the report.
residence,"	野放図な",
resident,関連した,
residential,"	見当違い",
residents,"	無関係",We found several residents.
resides,"	関連性",We found several resides.
residing,住む,They are residing the results.
resource,"	住んで",
resourced,"	居住",I resourced the report.
resourceful,"	住民",
resources,"	住宅",We found several resources.
resourcing,"	住民",They are resourcing the results.
unresourceful,"	存在",
under-resourced,"	居住",I under-resourced the report.
restrict,資源,
restricted,"	リソース供給",I restricted the report.
restricting,"	才略の有る",They are restricting the results.
restriction,"	リソース",
restrictions,"	リソーシング",We found several restrictions.
restrictive,"	機知に乏しい",
restrictively,"	リソース不足",
restricts,限る,We found several restricts.
unrestricted,"	制限",I unrestricted the report.
unrestrictive,"	制限",
secure,"	拘束",
insecure,"	制限",
insecurities,"	限定的",We found several insecurities.
insecurity,"	制限的に",
secured,"	制限",I secured the report.
securely,"	無制限",
secures,"	制限なし",We found several secures.
securing,牢,They are securing the results.
securities,"	不安",We found several securities.
security,"	不安",
seek,"	不安",
seeking,"	確保",They are seeking the results.
seeks,"	安全",We found several seeks.
sought,"	確保",
select,"	確保",Select the best answer.
selected,"	証券",I selected the report.
selecting,"	安全",They are selecting the results.
selection,探す,
selections,"	求めて",We found several selections.
selective,"	シーク",
selectively,"	求めた",
selector,選ぶ,She is an selector.
selectors,"	入選",We found several selectors.
selects,"	選択",We found several selects.
site,"	選定",
sites,"	選択",We found several sites.
strategy,"	選択",
strategic,"	選択",
strategies,"	セレクタ",We found several strategies.
strategically,"	セレクター",
strategist,"	選択",
strategists,敷地,We found several strategists.
survey,"	サイト",
surveyed,戦略,I surveyed the report.
surveying,"	戦略的な",They are surveying the results.
surveys,"	戦略",We found several surveys.
text,"	戦略 的",
texts,"	戦略家",We found several texts.
textual,"	戦略",
tradition,アンケート,
non traditional,"	調査",
traditional,"	測量",
traditionalist,"	調査",
traditionally,テキスト,
traditions,"	テキスト",We found several traditions.
transfer,"	テキスト",She is an transfer.
transferable,伝統,
transference,"	非伝統的な",
transferred,"	トラディショナル",I transferred the report.
transferring,"	伝統主義者",They are transferring the results.
transfers,"	伝統的",We found several transfers.
Sublist 3 of Academic Word List,"	伝統",
alternative,移転,
alternatively,"	譲渡",
alternatives,"	転移",We found several alternatives.
circumstance,"	転送",
circumstances,"	転送",We found several circumstances.
comment,"	転送",
commentaries,,We found several commentaries.
commentary,アカデミックワードリストのサブリスト3,
commentator,,She is an commentator.
commentators,,We found several commentators.
commented,オルターナティブ,I commented the report.
commenting,"	また",They are commenting the results.
comments,"	選択肢",We found several comments.
compensate,事情,
compensated,"	状況",I compensated the report.
compensates,コメント,We found several compensates.
compensating,"	論評",They are compensating the results.
compensation,"	解説",
compensations,"	コメンテーター",We found several compensations.
compensatory,"	コメンテーター",
component,"	コメント",
componentry,"	コメント",
components,"	コメント",We found several components.
consent,補償する,
consensus,"	補償",We found several consensus.
consented,"	補正",I consented the report.
consenting,"	補償",They are consenting the results.
consents,"	補償",We found several consents.
considerable,"	補償",
considerably,"	代償",
constant,コンポーネント,
constancy,"	コンポーネント",
constantly,"	コンポーネント",
constants,同意,We found several constants.
inconstancy,"	コンセンサス",
inconstantly,"	同意",
constrain,"	同意",
constrained,"	同意",I constrained the report.
constraining,かなり,They are constraining the results.
constrains,"	大分",We found several constrains.
constraint,定数,
constraints,"	恒常",We found several constraints.
unconstrained,"	絶えず",I unconstrained the report.
contribute,"	定数",Everyone was asked to contribute ideas to the plan.
contributed,"	心変わり",I contributed the report.
